COLLISION_ID,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
4521660,1,0,0,0,0,0,1,0
4514152,1,0,0,0,0,0,1,0
4522196,0,0,0,0,0,0,0,0
3531885,3,0,0,0,0,0,3,0
3522384,0,0,0,0,0,0,0,0
3527038,0,0,0,0,0,0,0,0
1016596,0,0,0,0,0,0,0,0
4047345,1,0,0,0,0,0,1,0
2873728,0,0,0,0,0,0,0,0
3530900,0,0,0,0,0,0,0,0
4040803,1,0,0,0,0,0,1,0
1003091,0,0,0,0,0,0,0,0
3523432,0,0,0,0,0,0,0,0
4041208,0,0,0,0,0,0,0,0
3535551,0,0,0,0,0,0,0,0
3528022,0,0,0,0,0,0,0,0
3526439,1,0,0,0,1,0,0,0
3108430,0,0,0,0,0,0,0,0
1007733,0,0,0,0,0,0,0,0
1007713,0,0,0,0,0,0,0,0
4513564,0,0,0,0,0,0,0,0
1004102,0,0,0,0,0,0,0,0
4485528,0,0,0,0,0,0,0,0
3534257,1,0,0,0,1,0,0,0
1006316,0,0,0,0,0,0,0,0
4485437,0,0,0,0,0,0,0,0
3533523,0,0,0,0,0,0,0,0
4050600,0,0,0,0,0,0,0,0
3524595,0,0,0,0,0,0,0,0
4054639,0,0,0,0,0,0,0,0
4522285,0,0,0,0,0,0,0,0
1004906,0,0,0,0,0,0,0,0
1008472,0,0,0,0,0,0,0,0
1009012,0,0,0,0,0,0,0,0
1012202,1,0,1,0,0,0,0,0
4485581,0,0,0,0,0,0,0,0
3529645,0,0,0,0,0,0,0,0
1006400,0,0,0,0,0,0,0,0
4044386,0,0,0,0,0,0,0,0
4054288,0,0,0,0,0,0,0,0
3527437,1,0,0,0,0,0,1,0
1012891,0,0,0,0,0,0,0,0
4044489,0,0,0,0,0,0,0,0
4486960,1,0,1,0,0,0,0,0
3533814,0,0,0,0,0,0,0,0
4513860,2,0,0,0,0,0,2,0
4044872,0,0,0,0,0,0,0,0
4050778,0,0,0,0,0,0,0,0
4485090,2,0,0,0,0,0,2,0
4485523,4,0,0,0,0,0,4,0
4521858,0,0,0,0,0,0,0,0
4043103,0,0,0,0,0,0,0,0
4044529,0,0,0,0,0,0,0,0
4484906,0,0,0,0,0,0,0,0
3522756,1,0,1,0,0,0,0,0
3533861,1,0,0,0,0,0,1,0
4485214,0,0,0,0,0,0,0,0
4514267,1,0,0,0,0,0,1,0
3536544,0,0,0,0,0,0,0,0
4042847,0,0,0,0,0,0,0,0
3528773,2,0,0,0,0,0,2,0
4051435,0,0,0,0,0,0,0,0
4521902,1,0,0,0,0,0,1,0
4045736,0,0,0,0,0,0,0,0
4513774,0,0,0,0,0,0,0,0
3524260,0,0,0,0,0,0,0,0
4045518,0,0,0,0,0,0,0,0
4055469,0,0,0,0,0,0,0,0
3525173,0,0,0,0,0,0,0,0
1003255,0,0,0,0,0,0,0,0
3520918,0,0,0,0,0,0,0,0
1007348,0,0,0,0,0,0,0,0
4513751,0,0,0,0,0,0,0,0
3530540,0,0,0,0,0,0,0,0
4052415,1,0,1,0,0,0,0,0
1004903,5,0,0,0,0,0,5,0
4040583,1,0,1,0,0,0,0,0
3533569,1,0,0,0,1,0,0,0
1010654,0,0,0,0,0,0,0,0
4485316,1,0,1,0,0,0,0,0
4514160,1,0,0,0,0,0,1,0
3528798,0,0,0,0,0,0,0,0
